param,intercept,age,age2,HtPRD,HtLLN,R2,sex,under20,ethnicity
FEV1,-0.7453,-0.04106,0.004477,1.4098e-4,1.1607e-4,0.851,1,TRUE,1
FEV6,-0.3119,-0.18612,0.009717,1.8188e-4,1.5323e-4,0.8692,1,TRUE,1
FVC,-0.2584,-0.20415,0.010133,1.8642e-4,1.5695e-4,0.8668,1,TRUE,1
PEF,-0.5962,-0.12357,0.013135,2.4962e-4,1.7635e-4,0.7808,1,TRUE,1
FEF2575,-1.0863,0.13938999999999999,0,1.0345e-4,5.294e-5,0.5601,1,TRUE,1
FEV1,0.5536,-0.01303,-1.72e-4,1.4098e-4,1.1607e-4,0.851,1,FALSE,1
FEV6,0.1102,-0.00842,-2.23e-4,1.8188e-4,1.5323e-4,0.8692,1,FALSE,1
FVC,-0.1933,6.4e-4,-2.69e-4,1.8642e-4,1.5695e-4,0.8668,1,FALSE,1
PEF,1.0523,0.08272,-0.001301,2.4962e-4,1.7635e-4,0.7808,1,FALSE,1
FEF2575,2.7006,-0.04995,0,1.0345e-4,5.294e-5,0.5601,1,FALSE,1
FEV1,-0.7048,-0.05711,0.004316,1.3194e-4,1.0561e-4,0.808,1,TRUE,2
FEV6,-0.5525,-0.14107,0.007241,1.6429e-4,1.3499e-4,0.8297,1,TRUE,2
FVC,-0.4971,-0.15497,0.007701,1.6643e-4,1.367e-4,0.8303,1,TRUE,2
PEF,-0.2684,-0.28016,0.018202,2.7333e-4,1.8938e-4,0.7299,1,TRUE,2
FEF2575,-1.1627,0.12314,0,1.0461e-4,4.819e-5,0.4724,1,TRUE,2
FEV1,0.3411,-0.02309,0,1.3194e-4,1.0561e-4,0.808,1,FALSE,2
FEV6,-0.0547,-0.02114,0,1.6429e-4,1.3499e-4,0.8297,1,FALSE,2
FVC,-0.1517,-0.01821,0,1.6643e-4,1.367e-4,0.8303,1,FALSE,2
PEF,2.2257,-0.04082,0,2.7333e-4,1.8938e-4,0.7299,1,FALSE,2
FEF2575,2.1477,-0.04238,0,1.0461e-4,4.819e-5,0.4724,1,FALSE,2
FEV1,-0.8218,-0.04248,0.004291,1.5104e-4,1.267e-4,0.8536,1,TRUE,3
FEV6,-0.6646,-0.1127,0.007306,1.784e-4,1.5029e-4,0.8657,1,TRUE,3
FVC,-0.7571,-0.0952,0.006619,1.7823e-4,1.4947e-4,0.8641,1,TRUE,3
PEF,-0.9537,-0.19602,0.014497,3.0243e-4,2.1833e-4,0.753,1,TRUE,3
FEF2575,-1.3592,0.10529,0,1.4473e-4,9.02e-5,0.5482,1,TRUE,3
FEV1,0.6306,-0.02928,0,1.5104e-4,1.267e-4,0.8536,1,FALSE,3
FEV6,0.5757,-0.0286,0,1.784e-4,1.5029e-4,0.8657,1,FALSE,3
FVC,0.2376,-0.00891,-1.82e-4,1.7823e-4,1.4947e-4,0.8641,1,FALSE,3
PEF,0.087,0.0658,-0.001195,3.0243e-4,2.1833e-4,0.753,1,FALSE,3
FEF2575,1.7503,-0.05018,0,1.4473e-4,9.02e-5,0.5482,1,FALSE,3
FEV1,-0.871,0.06537,0,1.1496e-4,9.283e-5,0.7494,2,TRUE,1
FEV6,-1.1925,0.06544,0,1.4395e-4,1.1827e-4,0.7457,2,TRUE,1
FVC,-1.2082,0.05916,0,1.4815e-4,1.2198e-4,0.7344,2,TRUE,1
PEF,-3.6181,0.60644,-0.016846,1.8623e-4,1.2148e-4,0.5559,2,TRUE,1
FEF2575,-2.5284,0.5249,-0.015309,6.982e-5,2.302e-5,0.5005,2,TRUE,1
FEV1,0.4333,-0.00361,-1.94e-4,1.1496e-4,9.283e-5,0.7494,2,FALSE,1
FEV6,-0.1373,0.01317,-3.52e-4,1.4395e-4,1.1827e-4,0.7457,2,FALSE,1
FVC,-0.356,0.0187,-3.82e-4,1.4815e-4,1.2198e-4,0.7344,2,FALSE,1
PEF,0.9267,0.06929,-0.001031,1.8623e-4,1.2148e-4,0.5559,2,FALSE,1
FEF2575,2.367,-0.01904,-2e-4,6.982e-5,2.302e-5,0.5005,2,FALSE,1
FEV1,-0.963,0.05799,0,1.0846e-4,8.546e-5,0.6687,2,TRUE,2
FEV6,-0.637,-0.04243,0.003508,1.3497e-4,1.0848e-4,0.6615,2,TRUE,2
FVC,-0.6166,-0.04687,0.003602,1.3606e-4,1.0916e-4,0.6536,2,TRUE,2
PEF,-1.2398,0.16375,0,1.9746e-4,1.216e-4,0.4736,2,TRUE,2
