sex,f,a0,a1,a2,a3,a4,a5,a6,p0,p1,p2,p3,p4,p5,q0,q1,agebound,l0,l1,m0,m1,s0,s1
1,FEV1,-10.342,2.2196,0.0574,-0.1589,-0.0351,-0.0881,-0.0708,-2.3268,0.0798,0.1096,-0.3973,0.0327,0.0114,0.8866,0.085,3,0,0,-0.1133,-0.1073,0.2143,0.2043
1,FEV1,-10.342,2.2196,0.0574,-0.1589,-0.0351,-0.0881,-0.0708,-2.3268,0.0798,0.1096,-0.3973,0.0327,0.0114,0.8866,0.085,3.25,0,0,-0.1073,-0.1011,0.2043,0.1954
1,FEV1,-10.342,2.2196,0.0574,-0.1589,-0.0351,-0.0881,-0.0708,-2.3268,0.0798,0.1096,-0.3973,0.0327,0.0114,0.8866,0.085,3.5,0,0,-0.1011,-0.0951,0.1954,0.1872
1,FEV1,-10.342,2.2196,0.0574,-0.1589,-0.0351,-0.0881,-0.0708,-2.3268,0.0798,0.1096,-0.3973,0.0327,0.0114,0.8866,0.085,3.75,0,0,-0.0951,-0.0893,0.1872,0.1794
1,FEV1,-10.342,2.2196,0.0574,-0.1589,-0.0351,-0.0881,-0.0708,-2.3268,0.0798,0.1096,-0.3973,0.0327,0.0114,0.8866,0.085,4,0,0,-0.0893,-0.0841,0.1794,0.1721
1,FEV1,-10.342,2.2196,0.0574,-0.1589,-0.0351,-0.0881,-0.0708,-2.3268,0.0798,0.1096,-0.3973,0.0327,0.0114,0.8866,0.085,4.25,0,0,-0.0841,-0.0799,0.1721,0.1653
1,FEV1,-10.342,2.2196,0.0574,-0.1589,-0.0351,-0.0881,-0.0708,-2.3268,0.0798,0.1096,-0.3973,0.0327,0.0114,0.8866,0.085,4.5,0,0,-0.0799,-0.0769,0.1653,0.1592
1,FEV1,-10.342,2.2196,0.0574,-0.1589,-0.0351,-0.0881,-0.0708,-2.3268,0.0798,0.1096,-0.3973,0.0327,0.0114,0.8866,0.085,4.75,0,0,-0.0769,-0.0752,0.1592,0.1535
1,FEV1,-10.342,2.2196,0.0574,-0.1589,-0.0351,-0.0881,-0.0708,-2.3268,0.0798,0.1096,-0.3973,0.0327,0.0114,0.8866,0.085,5,0,0,-0.0752,-0.075,0.1535,0.1479
1,FEV1,-10.342,2.2196,0.0574,-0.1589,-0.0351,-0.0881,-0.0708,-2.3268,0.0798,0.1096,-0.3973,0.0327,0.0114,0.8866,0.085,5.25,0,0,-0.075,-0.0758,0.1479,0.1421
